%
% Comments go after a '%' sign.
%
%
% Relation: Features
%
%
% Attributes: 13     Instances: 1500
%
%

@relation Features

@attribute 'ID' numeric
@attribute 'Bored' numeric
@attribute 'Angry' numeric
@attribute 'Sad' numeric
@attribute 'Fear' numeric
@attribute 'Excited' numeric
@attribute 'Happy' numeric
@attribute 'Negative' numeric
@attribute 'Neutral' numeric
@attribute 'Positive' numeric
@attribute 'Sarcasm' numeric
@attribute 'Abuse' numeric
@attribute 'Class' {0,1}


@data
26,0.076930979,0.135087759,0.21981398,0.286263188,0.133430781,0.148473313,0.442,0.274,0.284,0.544855366,0.000194334,0
27,0.044614587,0.23980716,0.140240066,0.140555228,0.199269374,0.235513586,0.281,0.522,0.197,0.419265293,0.999959588,0
28,0.098494483,0.146181111,0.143657586,0.195476818,0.200226447,0.215963555,0.233,0.345,0.422,0.436774285,0.000024100,0
29,0.03649816,0.231510037,0.092041341,0.135320641,0.309727399,0.194902423,0.148,0.469,0.383,0.33828586,0.014485660,0
30,0.121546925,0.368012906,0.21657387,0.189437826,0.064216981,0.040211492,0.9,0.078,0.022,0.5001885,0.000022100,0
31,0.046845066,0.239947193,0.156878708,0.187131777,0.204400228,0.164797029,0.243,0.469,0.288,0.600266752,0.000040500,0
32,0.354940954,0.117214955,0.092028635,0.125046212,0.196695968,0.114073276,0.299,0.417,0.284,0.542728362,0.164971575,0
33,0.170478342,0.224247546,0.20590827,0.227007113,0.131297002,0.041061728,0.825,0.123,0.052,0.651597207,0.034750521,0
34,0.067769908,0.306207352,0.194907244,0.187562552,0.154596088,0.088956856,0.238,0.419,0.343,0.545878338,0.000559797,0
35,0.128880754,0.326168215,0.155301267,0.150954743,0.189105599,0.049589422,0.86,0.11,0.03,0.518196871,0.088597857,0
36,0.12127573,0.245262811,0.252925714,0.174974454,0.143745628,0.061815663,0.605,0.314,0.081,0.662915478,0.133732453,0
37,0.066749144,0.21686242,0.146182498,0.212025883,0.200588619,0.157591437,0.132,0.554,0.314,0.390511726,0.000024000,0
38,0.261394814,0.172535227,0.176205585,0.17304642,0.13641892,0.080399035,0.872,0.097,0.031,0.682735595,0.003037262,0
39,0.057243945,0.289834404,0.265389121,0.192005782,0.118818154,0.076708595,0.598,0.327,0.075,0.528163296,0.000265470,0
40,0.156448418,0.120740796,0.087697757,0.073451238,0.38403205,0.177629742,0.494,0.37,0.136,0.411564766,0.000608332,0
41,0.005249058,0.024365699,0.013424102,0.038645845,0.175348841,0.742966455,0.035,0.161,0.804,0.093327819,0.000205345,0
42,0.294419753,0.162468002,0.121958865,0.142182919,0.186936293,0.092034169,0.469,0.417,0.115,0.623433844,0.000046800,0
43,0.110489911,0.162931694,0.216968345,0.255191803,0.190950958,0.063467289,0.249,0.46,0.291,0.632991195,0.000019400,0
44,0.034420646,0.194846809,0.175040619,0.302937171,0.165705763,0.127048993,0.658,0.28,0.062,0.556367546,0.001097203,0
45,0.222527396,0.223817485,0.160384482,0.178441183,0.158000778,0.056828676,0.659,0.234,0.108,0.599715972,0.000863957,0
46,0.032661185,0.06684024,0.081752136,0.238399005,0.117642911,0.462704524,0.147,0.582,0.271,0.280166157,0.000121856,0
47,0.10422904,0.28637277,0.152657433,0.166102865,0.178266619,0.112371273,0.761,0.187,0.052,0.536571188,0.000959469,0
48,0.066260446,0.110289893,0.189391532,0.254906058,0.205321139,0.173830931,0.352,0.493,0.155,0.539603728,0.000022300,0
49,0.129026428,0.350833535,0.227431558,0.160958908,0.068328127,0.063421445,0.914,0.079,0.007,0.65504425,0.000589284,0
50,0.277691648,0.19620235,0.082835397,0.114464272,0.199192654,0.129613679,0.63,0.218,0.151,0.480113801,0.001009246,0
51,0.083011423,0.293504314,0.23325719,0.187783993,0.116832156,0.085610924,0.774,0.131,0.095,0.640956995,0.000037200,0
52,0.089546049,0.4064442,0.25053848,0.106471806,0.070043537,0.076955929,0.789,0.173,0.038,0.734024608,0.000700893,0
53,0.04453037,0.184633218,0.217979761,0.167275354,0.215002535,0.170578762,0.128,0.374,0.498,0.464163291,0.000021200,0
54,0,0.12394781,0.026162675,0.097215066,0.324693087,0.427981362,0.037,0.255,0.708,0.259716264,0.001512413,0
55,0.060464819,0.129022844,0.105087465,0.344359436,0.230370651,0.130694786,0.196,0.333,0.471,0.337776818,0.000085700,0
56,0.208094774,0.197763028,0.213512804,0.201267786,0.102286059,0.077075549,0.771,0.168,0.061,0.697040881,0.000291439,0
57,0.157082664,0.136292068,0.119675314,0.255580953,0.205850111,0.12551889,0.192,0.353,0.455,0.466612306,0.002515852,0
58,0.407263606,0.159976309,0.135492661,0.160408667,0.116064882,0.020793875,0.633,0.32,0.047,0.627136798,0.792636633,0
59,0.066324558,0.208422373,0.231907182,0.341520439,0.105876944,0.045948504,0.632,0.326,0.042,0.662341811,0.000349974,0
60,0.265048673,0.153735547,0.154299752,0.141650669,0.176752414,0.108512946,0.324,0.5,0.176,0.609950273,0.063607767,0
61,0.258036661,0.333938996,0.139698491,0.125211744,0.076673901,0.066440208,0.657,0.209,0.133,0.713224425,0.000756905,0
62,0,0.235427924,0.05598302,0.08739978,0.439962674,0.181226603,0.128,0.619,0.253,0.142407786,0.018091295,0
63,0.073366763,0.443601106,0.181361226,0.11661754,0.10109364,0.083959725,0.632,0.287,0.081,0.555646981,0.000021700,0
64,0.085068276,0.310464087,0.141840182,0.150774417,0.165646885,0.146206153,0.728,0.205,0.067,0.510395691,0.115291521,0
65,0.057629521,0.163499931,0.170979114,0.267648251,0.234853685,0.105389499,0.456,0.367,0.177,0.457019719,0.998889625,0
66,0.034895451,0.157060409,0.189402251,0.399473709,0.147157123,0.072011057,0.417,0.449,0.134,0.489194181,0.000103059,1
67,0.086129356,0.326536956,0.25330258,0.105951406,0.135320901,0.092758801,0.923,0.067,0.01,0.439556845,0.000024000,1
68,0.214971745,0.28830399,0.223877632,0.16820542,0.050974191,0.053667021,0.797,0.189,0.015,0.44297881,0.000032600,0
69,0.068100931,0.265857866,0.190906418,0.164260939,0.185096021,0.125777825,0.719,0.203,0.078,0.529696245,0.000050000,0
70,0.109857873,0.293263344,0.116626056,0.181177406,0.15757303,0.141502291,0.411,0.462,0.127,0.597246494,0.020303836,0
71,0.073435511,0.214178951,0.266638792,0.150901219,0.148893847,0.145951681,0.424,0.374,0.203,0.440818088,0.998766184,1
72,0.136388242,0.301550649,0.223835048,0.179140721,0.108994526,0.050090815,0.742,0.217,0.041,0.669196175,0.000022000,0
73,0.147253271,0.349091041,0.113377884,0.086831624,0.111405131,0.19204105,0.693,0.262,0.045,0.582287582,0.999287427,1
74,0.074796315,0.143728694,0.155763851,0.256395735,0.217360807,0.151954598,0.217,0.498,0.285,0.512974828,0.000044900,0
75,0.038765052,0.573299212,0.178616055,0.101642006,0.057872802,0.049804874,0.949,0.042,0.009,0.635366553,0.000390625,0
76,0.059003523,0.276142847,0.214800594,0.30475373,0.095091354,0.050207953,0.5,0.321,0.179,0.634556293,0.000062100,0
77,0.133086164,0.512571994,0.131646155,0.126713287,0.060916312,0.035066088,0.962,0.028,0.009,0.582896662,0.001793385,0
78,0.109181081,0.239257278,0.340948864,0.186754512,0.077101755,0.04675651,0.885,0.091,0.024,0.597171653,0.000027800,0
79,0.046005105,0.117842192,0.111140869,0.240887851,0.301011308,0.183112675,0.08,0.493,0.427,0.432422125,0.000081100,0
80,0.196814725,0.186307694,0.230758957,0.216902427,0.112560119,0.056656078,0.712,0.219,0.069,0.673399871,0.000033400,0
81,0.12369021,0.319644017,0.252172207,0.19051749,0.070353053,0.043623025,0.643,0.295,0.062,0.6644624,0.997953177,0
82,0,0.324803027,0.223896668,0.112726199,0.164401985,0.174172122,0.683,0.272,0.045,0.373798767,0.996987045,0
83,0.050924714,0.495632318,0.167110472,0.114453055,0.088113558,0.083765884,0.702,0.115,0.183,0.495717217,0.005528494,0
84,0.107300955,0.324306368,0.23792504,0.162270487,0.090800647,0.077396504,0.342,0.568,0.09,0.604654894,0.000031300,0
85,0.07427838,0.286676526,0.222305704,0.171237182,0.153447509,0.092054699,0.711,0.219,0.07,0.432780519,0.000039800,0
86,0.077161046,0.262797543,0.138820627,0.21716883,0.17258304,0.131468914,0.261,0.432,0.307,0.354170145,0.225355551,0
87,0.197518094,0.300666297,0.156337878,0.179340375,0.110749678,0.055387678,0.726,0.219,0.055,0.530823487,0.000105468,0
88,0.033647663,0.734567129,0.059247986,0.119791611,0.032944764,0.019800847,0.99,0.009,0.001,0.278009748,0.000157011,0
89,0.067973744,0.437567642,0.145643929,0.11592471,0.155513868,0.077376107,0.91,0.074,0.016,0.419387915,0.000883590,0
90,0.125593243,0.22579578,0.149189933,0.135340296,0.185367787,0.178712962,0.312,0.382,0.306,0.640522181,0.000079500,0
91,0.080159852,0.211757073,0.113748406,0.168675279,0.254296201,0.17136319,0.324,0.417,0.26,0.485145232,0.000028000,0
92,0.132620656,0.418389084,0.139823957,0.115562765,0.08559179,0.108011749,0.747,0.176,0.076,0.563090573,0.000043200,0
93,0.122855038,0.279944134,0.201301032,0.203796715,0.133511939,0.058591144,0.721,0.218,0.061,0.488271738,0.995012820,0
94,0.066455238,0.09752075,0.183102989,0.319198167,0.189128482,0.144594374,0.178,0.502,0.32,0.425733799,0.000040700,0
95,0.027574697,0.245520143,0.165655079,0.179854,0.186367305,0.195028776,0.128,0.234,0.638,0.451585692,0.000018900,0
96,0.151094805,0.186912063,0.188369856,0.19988571,0.153733732,0.120003835,0.641,0.263,0.096,0.380712165,0.000020600,0
97,0.090567599,0.35683289,0.2660731,0.161858833,0.074930824,0.049736754,0.9,0.092,0.008,0.583433563,0.000019300,0
98,0.216511359,0.199983063,0.169893179,0.164204701,0.142812759,0.106594939,0.839,0.134,0.028,0.59153727,0.001047445,0
99,0.160305038,0.268558298,0.165252282,0.189814552,0.143605706,0.072464124,0.664,0.242,0.095,0.548276659,0.000018800,0
100,0.119376237,0.310400043,0.247496716,0.144712991,0.097755787,0.080258227,0.894,0.09,0.016,0.783917557,0.000681365,0
101,0.093540388,0.223845093,0.153617989,0.17971396,0.210926603,0.138355968,0.466,0.399,0.135,0.508290066,0.002275095,0
102,0.107285982,0.373298317,0.164431453,0.198130556,0.099865902,0.056987791,0.927,0.054,0.019,0.459270757,0.006647264,0
103,0.079780557,0.220653085,0.203703642,0.2200539,0.164903185,0.11090563,0.46,0.411,0.129,0.652130396,0.001453524,0
104,0.29682686,0.243114753,0.147314909,0.124180167,0.142436557,0.046126756,0.582,0.277,0.141,0.638968928,0.000082600,0
105,0.030608374,0.62072542,0.101585735,0.099240013,0.105901822,0.041938636,0.638,0.164,0.199,0.385335949,0.000325703,0
106,0.286361511,0.136086498,0.145830542,0.208608974,0.112617399,0.110495075,0.382,0.419,0.199,0.595111091,0.000029200,0
107,0.043861221,0.214927192,0.103849556,0.18071976,0.261336368,0.195305903,0.094,0.583,0.323,0.318312867,0.000023100,0
108,0.107196264,0.384590247,0.152933359,0.159275887,0.121903178,0.074101065,0.815,0.133,0.052,0.54669192,0.000026600,0
109,0.113310326,0.174482431,0.166528136,0.212407275,0.183740857,0.149530977,0.217,0.4,0.383,0.569110374,0.001729108,0
110,0.053330878,0.132803534,0.187505508,0.256728797,0.187904985,0.181726298,0.217,0.424,0.359,0.509884367,0.000029900,0
111,0.072691848,0.181731588,0.228151939,0.169174731,0.161795402,0.186454492,0.466,0.431,0.103,0.579507102,0.951667368,0
112,0.031749575,0.167802512,0.176744676,0.21662279,0.17748479,0.229595657,0.153,0.48,0.367,0.383687037,0.000041600,0
113,0.100369261,0.169789163,0.147168746,0.199296887,0.260986206,0.122389737,0.11,0.459,0.432,0.531188464,0.000119183,0
114,0.111900237,0.365014946,0.238432416,0.117475798,0.062251073,0.10492553,0.87,0.115,0.016,0.749378693,0.792180479,0
115,0.062860061,0.536990523,0.115334001,0.101081501,0.107917416,0.075816499,0.511,0.239,0.25,0.479422744,0.000922210,0
116,0.036592737,0.137441884,0.131388342,0.076920146,0.32388289,0.293774,0.147,0.664,0.189,0.258088186,0.000027800,0
117,0.066556505,0.392577128,0.179778355,0.139558368,0.104507576,0.117022068,0.872,0.104,0.024,0.494412229,0.003603583,0
118,0.227295126,0.181589382,0.132981976,0.141127764,0.193548416,0.123457337,0.872,0.102,0.026,0.530240353,0.000041400,0
119,0.100141364,0.242627566,0.143996063,0.21670293,0.206170984,0.090361094,0.322,0.452,0.225,0.452540374,0.022248155,0
120,0.203865405,0.308961453,0.223382841,0.179020424,0.050218678,0.034551199,0.809,0.173,0.018,0.67012328,0.000023000,0
121,0.210796515,0.223759697,0.089066854,0.149593616,0.213273891,0.113509427,0.226,0.448,0.326,0.350682402,0.000038400,0
122,0.090079451,0.146696442,0.102680902,0.182257564,0.249998013,0.228287629,0.144,0.183,0.674,0.565515577,0.000655301,0
123,0.066258699,0.20256783,0.104891798,0.206864057,0.25490602,0.164511597,0.242,0.479,0.278,0.521174173,0.003790477,0
124,0.077721204,0.195909909,0.105307416,0.241658517,0.195486948,0.183916007,0.353,0.321,0.327,0.309354289,0.000021900,0
125,0.040739475,0.480478679,0.178664312,0.22805058,0.041124366,0.030942588,0.909,0.076,0.015,0.643652003,0.000156908,0
126,0.031905958,0.08827111,0.253425115,0.33951137,0.131323897,0.15556255,0.553,0.297,0.15,0.374096894,0.000201418,0
127,0,0.300202922,0.187956151,0.175038851,0.15437212,0.182429956,0.284,0.441,0.275,0.458050601,0.000856278,0
128,0.128315595,0.257729473,0.198524968,0.156373567,0.150622543,0.108433853,0.882,0.092,0.026,0.628527111,0.686029255,0
129,0.132161948,0.335777962,0.246835903,0.164563478,0.067280406,0.053380303,0.767,0.191,0.042,0.642711592,0.001238378,0
130,0.032503174,0.057329419,0.064350173,0.146931168,0.49360557,0.205280497,0.277,0.425,0.298,0.261749447,0.000023700,0
131,0.085027977,0.392463054,0.17545601,0.182801905,0.085989698,0.078261357,0.836,0.126,0.038,0.599370742,0.195890546,0
132,0.073594227,0.421370365,0.129342352,0.13124823,0.153954032,0.090490795,0.526,0.318,0.156,0.323811411,0.000035500,0
133,0.090750741,0.302420246,0.225370112,0.26837548,0.06383725,0.049246171,0.884,0.098,0.018,0.637937218,0.001968803,0
134,0.215719995,0.234138159,0.1456503,0.181695025,0.126459922,0.0963366,0.652,0.263,0.085,0.636722155,0.001217812,0
135,0.138951964,0.249269643,0.221881112,0.183928359,0.133431333,0.07253759,0.889,0.089,0.022,0.616935539,0.000023800,0
136,0.1369844,0.334720988,0.191304173,0.131819651,0.098015411,0.107155377,0.781,0.179,0.041,0.724690713,0.000609127,0
137,0.064706799,0.301440898,0.175088777,0.241572863,0.120802718,0.096387946,0.376,0.455,0.168,0.493153592,0.005300758,0
138,0.080999224,0.16630212,0.177960999,0.245362869,0.192968045,0.136406743,0.197,0.505,0.298,0.461255333,0.000058000,0
139,0.010248861,0.070025204,0.020148314,0.127016266,0.444025559,0.328535797,0.023,0.3,0.676,0.244039688,0.000034600,0
140,0.041156353,0.39867306,0.206031236,0.249136667,0.073149327,0.031853358,0.762,0.204,0.034,0.692323148,0.998538137,0
141,0.06989217,0.476995104,0.161409377,0.145304022,0.10977373,0.036625598,0.919,0.064,0.017,0.579301263,0.000024900,0
142,0.093300391,0.405142391,0.210600147,0.176437776,0.075719497,0.038799799,0.906,0.067,0.027,0.62483566,0.011690359,0
143,0.125678228,0.334671854,0.194536806,0.15123991,0.104474798,0.089398405,0.746,0.181,0.073,0.614676926,0.067604922,0
144,0.084222245,0.247146928,0.183008783,0.206869728,0.147690816,0.1310615,0.359,0.409,0.232,0.552265659,0.137873143,0
145,0.036968542,0.277171753,0.135054073,0.234206317,0.182389606,0.134209709,0.522,0.293,0.185,0.431477564,0.000179659,0
146,0.126842305,0.304806798,0.116836672,0.16808888,0.108791069,0.174634275,0.895,0.074,0.031,0.389224198,0.000064800,0
147,0.042026282,0.5319494,0.117948268,0.151567262,0.093125731,0.063383057,0.597,0.226,0.177,0.310495422,0.003492674,0
148,0.195738911,0.300662569,0.169174029,0.19549626,0.077690047,0.061238184,0.918,0.063,0.019,0.665024208,0.000050900,0
149,0.066517333,0.101528247,0.118011902,0.234747067,0.325467708,0.153727744,0.201,0.535,0.264,0.455948764,0.000022900,0
150,0.078767099,0.538553865,0.158292453,0.111213955,0.075122755,0.038049873,0.939,0.047,0.014,0.689859314,0.999482751,0
151,0.0378775,0.533894529,0.08190564,0.078579383,0.127129591,0.140613357,0.816,0.094,0.089,0.395784234,0.052699201,0
152,0.357433071,0.25347345,0.191791057,0.125721253,0.045794221,0.025786948,0.772,0.21,0.018,0.715888385,0.996609330,0
153,0.20825884,0.427280081,0.107306248,0.114961239,0.076297409,0.065896184,0.747,0.222,0.031,0.488146296,0.995712280,0
154,0.058365355,0.133318959,0.097893439,0.201463895,0.207456962,0.301501391,0.26,0.368,0.372,0.296902721,0.000780088,0
155,0.060401597,0.520205227,0.10887815,0.119405077,0.118572054,0.072537894,0.656,0.23,0.114,0.526178103,0.671576619,0
156,0.098771098,0.298150371,0.090651963,0.121730683,0.180210393,0.210485493,0.604,0.261,0.135,0.499437796,0.000981031,0
157,0,0.095097061,0.137708983,0.122670083,0.273227303,0.37129657,0.004,0.257,0.739,0.206366968,0.210913673,0
158,0.200709728,0.262222322,0.204538835,0.174190706,0.094337157,0.064001252,0.732,0.175,0.092,0.536745039,0.000193565,0
159,0.036665649,0.575637809,0.156006671,0.145775323,0.053645847,0.032268701,0.922,0.06,0.018,0.426060149,0.000382270,0
160,0.099563461,0.592798997,0.152223963,0.099009647,0.02786706,0.028536872,0.948,0.039,0.013,0.513408463,0.214311838,0
161,0.058090768,0.3081976,0.049307443,0.081959027,0.327793477,0.174651685,0.648,0.274,0.079,0.288416509,0.007291753,0
162,0.048925577,0.077293881,0.119315201,0.216302102,0.272319777,0.265843462,0.167,0.405,0.428,0.453219046,0.000621839,0
163,0.040965346,0.22623652,0.104905167,0.12084665,0.374502385,0.132543933,0.723,0.179,0.098,0.387550839,0.000028700,0
164,0.147303961,0.259539706,0.190853251,0.167873543,0.123441995,0.110987544,0.68,0.259,0.062,0.63512165,0.000018700,0
165,0.127036699,0.105533269,0.098047396,0.30037897,0.220986569,0.148017098,0.227,0.4,0.373,0.443816615,0.000023100,0
166,0.177032258,0.189881965,0.241003756,0.217983114,0.123087773,0.051011134,0.889,0.085,0.026,0.672349234,0.018725002,0
167,0.033098907,0.148958052,0.053395264,0.180124013,0.269167815,0.31525595,0.179,0.336,0.484,0.243227005,0.003676592,0
168,0.058049494,0.115809904,0.195614647,0.214100885,0.231573515,0.184851556,0.527,0.307,0.166,0.318830169,0.000019000,0
169,0.044552924,0.173271502,0.367246373,0.261727045,0.079203636,0.073998521,0.881,0.07,0.05,0.328653571,0.004463312,0
170,0.053492038,0.238248515,0.152845797,0.232161526,0.151783151,0.171468974,0.476,0.334,0.19,0.507163015,0.000021900,0
171,0.09175668,0.146860783,0.140551004,0.184157821,0.294180853,0.14249286,0.279,0.57,0.151,0.479115651,0.000034400,0
172,0.199631452,0.418884205,0.138976319,0.131072493,0.084138342,0.027297189,0.963,0.029,0.008,0.659358488,0.000532165,0
173,0.05150091,0.134943479,0.098502233,0.164199896,0.31886109,0.231992392,0.057,0.441,0.502,0.367916783,0.000054600,0
174,0.092826464,0.161083017,0.065738302,0.088420732,0.289253369,0.302678116,0.27,0.433,0.297,0.262290251,0.063607767,0
175,0.05409035,0.260978964,0.158170354,0.151383269,0.216343672,0.159033392,0.362,0.429,0.21,0.479156224,0.000029200,0
176,0.408714178,0.219106094,0.146482162,0.117417485,0.070712986,0.037567095,0.878,0.091,0.031,0.669786507,0.070852242,0
177,0.049684281,0.175176967,0.328643996,0.2551933,0.119142531,0.072158926,0.853,0.127,0.02,0.335664991,0.000046100,0
178,0.029899704,0.082904605,0.273648783,0.304677782,0.183458212,0.125410914,0.306,0.329,0.365,0.548060601,0.000083900,0
179,0.193041108,0.16040511,0.257067752,0.191518624,0.127693429,0.070273978,0.568,0.384,0.048,0.594890802,0.999112070,0
180,0.07169536,0.385656052,0.193555102,0.144575088,0.120157566,0.084360833,0.829,0.095,0.076,0.426107464,0.000035300,0
181,0.011310745,0.511677436,0.229749643,0.17727722,0.036892212,0.033092743,0.868,0.115,0.017,0.407709264,0.000044500,0
182,0.129838,0.266607104,0.132024706,0.172790483,0.165433386,0.133306322,0.621,0.237,0.142,0.476431168,0.000017400,0
183,0.054343684,0.307828306,0.183809802,0.239896746,0.137433671,0.076687791,0.771,0.17,0.058,0.492623506,0.020082511,0
184,0.234932557,0.307171566,0.197570508,0.141950028,0.066723083,0.051652258,0.794,0.152,0.054,0.687988258,0.000064000,0
185,0.349065479,0.174685475,0.163592204,0.151283024,0.091281751,0.070092067,0.588,0.275,0.137,0.629815849,0.001400303,0
186,0.075774212,0.218913479,0.055949082,0.107486347,0.349458457,0.192418423,0.296,0.339,0.365,0.47037981,0.000035400,0
187,0.058639275,0.275749733,0.150789387,0.185590506,0.136738952,0.192492148,0.324,0.372,0.304,0.635599463,0.000092300,0
188,0.165601251,0.131904028,0.218063943,0.201317175,0.175018918,0.108094686,0.291,0.471,0.238,0.541448104,0.000466465,0
189,0.165813101,0.502052602,0.130137241,0.11268141,0.049655902,0.039659745,0.941,0.052,0.007,0.509325067,0.000615325,0
190,0.007371036,0.027670052,0.022081329,0.06842688,0.632958212,0.241492491,0.086,0.541,0.373,0.18823037,0.000019900,0
191,0.064434874,0.558636456,0.1575627,0.103079688,0.072104943,0.044181339,0.812,0.162,0.026,0.507252498,0.974068046,0
192,0.212784099,0.239650871,0.193875915,0.194886462,0.085556721,0.073245932,0.507,0.413,0.08,0.629301973,0.998990476,0
193,0.087474107,0.200346775,0.188502052,0.248000181,0.181144608,0.094532277,0.71,0.215,0.075,0.568607099,0.000021100,0
194,0.064149596,0.185006981,0.153606411,0.247175601,0.177886818,0.172174593,0.374,0.449,0.177,0.541781909,0.057479873,0
195,0.046809081,0.384416259,0.231471295,0.304734932,0.024797476,0.007770959,0.963,0.035,0.002,0.491449252,0.983112395,0
196,0.067647835,0.150907535,0.27189616,0.259634765,0.129891447,0.120022258,0.713,0.201,0.086,0.61325521,0.000061000,0
197,0.118465974,0.32161078,0.250704266,0.167710425,0.080790118,0.060718438,0.634,0.306,0.06,0.615264283,0.596194923,0
198,0.081609303,0.161529516,0.201016237,0.208390376,0.129303201,0.218151368,0.679,0.226,0.095,0.713088822,0.000018100,0
199,0.074785496,0.315276225,0.098731841,0.182038337,0.202338414,0.126829687,0.586,0.295,0.118,0.536804072,0.998058379,0
200,0.071319595,0.250045554,0.101342123,0.231624557,0.226928168,0.118740003,0.455,0.378,0.167,0.408623026,0.035197161,0
201,0.069672831,0.423971628,0.303781489,0.129492635,0.047210097,0.02587132,0.962,0.033,0.005,0.437042608,0.000051500,0
202,0.079554701,0.141160611,0.134651156,0.328997501,0.215484429,0.100151602,0.372,0.475,0.153,0.421788238,0.000017300,0
203,0.066614103,0.234224528,0.12007608,0.174697796,0.294235814,0.110151679,0.851,0.116,0.032,0.557470695,0.001662672,0
204,0.071693306,0.124622461,0.394410243,0.23734175,0.099673366,0.072258875,0.77,0.172,0.057,0.541633683,0.000033100,0
205,0.07614038,0.639231921,0.082640677,0.079870137,0.058732304,0.063384581,0.94,0.05,0.011,0.583058917,0.998499036,0
206,0.14679128,0.241850058,0.19050094,0.200215702,0.138234978,0.082407041,0.767,0.183,0.05,0.624799645,0.001080688,0
207,0.157114152,0.455225941,0.092036995,0.098506556,0.087474382,0.109641973,0.903,0.078,0.02,0.504503296,0.000591627,0
208,0.089363757,0.300417634,0.18463771,0.203866072,0.150134187,0.071580639,0.348,0.398,0.254,0.521024678,0.000037800,0
209,0.172169004,0.173109815,0.221620915,0.220416398,0.139900003,0.072783865,0.448,0.469,0.084,0.678867874,0.037426818,0
210,0.228229058,0.126400891,0.139133654,0.210805921,0.175871139,0.119559337,0.472,0.343,0.185,0.549466156,0.000018800,0
211,0.157022765,0.217214169,0.184631926,0.171190215,0.132768855,0.137172071,0.664,0.226,0.11,0.55631116,0.000550908,0
